TaxID,Name,Pathogenic associations
1402,Bacillus licheniformis,"Пищевые отравления, раневые инфекции, инфекции кожи, бактериемия, эндокардиты, глазные инфекции"
1405,Bacillus mycoides,"Пневмонии, септицемия, инфекции роговицы, менингиты, пищевые отравления, глазные инфекции, легочные инфекции"
1408,Bacillus pumilus,"Пищевые отравления, раневые инфекции, инфекции кожи, бактериемия, эндокардиты, глазные инфекции"
47886,Chryseomonas luteola,"Бактериемия, эндокардиты, перитониты ассоциированные с перитонеальным диализом"
35703,Citrobacter amalonaticus,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдромю Нозокомиальные вспышки"
57706,Citrobacter braakii,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдромю Нозокомиальные вспышки"
67824,Citrobacter farmeri,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
546,Citrobacter freundii,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
545,Citrobacter koseri,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
67829,Citrobacter murliniae,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
67825,Citrobacter rodentium,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
67826,Citrobacter sedlakii,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
67827,Citrobacter werkmanii,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
133448,Citrobacter youngae,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
67828,Citrobacter gillenii,"Инфекции уретрального тракта, менингиты, бактериемия, гемолитико - уремический синдром"
1496,Clostridioides difficile,"Диаррея, псевдомембранозный колит. Ассоциирован с воздействием антибиотиков"
29341,Clostridium argentinense,"Раневые инфекции, бактериемия, абсцессы"
1561,Clostridium baratii,"Раневые инфекции, бактериемия, абсцессы"
1520,Clostridium beijerinckii,"Раневые инфекции, бактериемия, абсцессы"
1491,Clostridium botulinum,Ботулизм
1492,Clostridium butyricum,"Раневые инфекции, бактериемия, абсцессы"
1529,Clostridium cadaveris,"Раневые инфекции, бактериемия, абсцессы"
1530,Clostridium carnis,"Раневые инфекции, бактериемия, абсцессы"
36834,Clostridium celatum,"Раневые инфекции, бактериемия, абсцессы"
46867,Clostridium chauvoei,"Раневые инфекции, бактериемия, абсцессы"
1494,Clostridium cochlearium,"Раневые инфекции, бактериемия, абсцессы"
39481,Clostridium combesii,"Раневые инфекции, абсцессы, септицемия, периодонтиты"
1533,Clostridium fallax,"Раневые инфекции, бактериемия, абсцессы, газовая гангрена"
84025,Clostridium haemolyticum,"Раневые инфекции, бактериемия, абсцессы"
349933,Clostridium hydrogeniformans,"Раневые инфекции, бактериемия, абсцессы"
1522,Clostridium innocuum,"Раневые инфекции, бактериемия, абсцессы"
36845,Clostridium intestinale,"Раневые инфекции, бактериемия, абсцессы"
1535,Clostridium leptum,"Раневые инфекции, бактериемия, абсцессы"
1539,Clostridium malenominatum,"Раневые инфекции, бактериемия, абсцессы"
137838,Clostridium neonatale,"Раневые инфекции, бактериемия, абсцессы"
1542,Clostridium novyi,"Раневые инфекции, бактериемия, абсцессы, газовая гангрена"
29363,Clostridium paraputrificum,"Раневые инфекции, бактериемия, абсцессы"
1502,Clostridium perfringens,"Пищевые отравления, некротизирующие энтероколиты, газовая гангрена"
1524,Clostridium piliforme,"Раневые инфекции, бактериемия, абсцессы"
29369,Clostridium sardiniense,"Раневые инфекции, бактериемия, абсцессы"
1504,Clostridium septicum,"Раневые инфекции, бактериемия, абсцессы, газовая гангрена"
1509,Clostridium sporogenes,"Раневые инфекции, бактериемия, абсцессы"
1550,Clostridium subterminale,"Раневые инфекции, бактериемия, абсцессы"
