Capnocytophaga canimorsus,Zoonotic
Chlamydia felis,Zoonotic
Chlamydia gallinacea,Not zoonotic
Clostridium intestinale,Zoonotic
Coenonia anatina,Not zoonotic
Dichelobacter nodosus,Not zoonotic
Edwardsiella hoshinae,Zoonotic
Ehrlichia canis,Zoonotic
Eikenella corrodens,Zoonotic
Enterococcus faecalis,Zoonotic
Enterococcus gallinarum,Zoonotic
Enterococcus thailandicus,Zoonotic
Escherichia vulneris,Zoonotic
Fusobacterium nucleatum,Zoonotic
Gallibacterium salpingitidis,Not zoonotic
Globicatella sulfidifaciens,Not zoonotic
Helcococcus kunzii,Zoonotic
Helicobacter acinonychis,Not zoonotic
Helicobacter cinaedi,Zoonotic
Helicobacter heilmannii,Zoonotic
Leptospira licerasiae,Zoonotic
Leptospira santarosai,Zoonotic
Leptospira weilii,Zoonotic
Mannheimia granulomatis,Not zoonotic
Moellerella wisconsensis,Zoonotic
Moraxella bovis,Not zoonotic
Moraxella canis,Zoonotic
Moraxella lacunata,Zoonotic
Mycobacterium africanum,Zoonotic
Mycobacterium elephantis,Zoonotic
Mycobacterium goodii,Zoonotic
Mycobacterium lepraemurium,Not zoonotic
Mycoplasma agalactiae,Not zoonotic
Mycoplasma bovigenitalium,Not zoonotic
Mycoplasma gallinaceum,Not zoonotic
Mycoplasma haemofelis,Not zoonotic
Mycoplasma hominis,Zoonotic
Mycoplasma synoviae,Not zoonotic
Neorickettsia risticii,Not zoonotic
Nocardia africana,Zoonotic
Nocardia cyriacigeorgica,Zoonotic
Ochrobactrum anthropi,Zoonotic
Pasteurella caballi,Zoonotic
Pasteurella dagmatis,Zoonotic
Porphyromonas macacae,Zoonotic
Prevotella ruminicola,Zoonotic
Propionibacterium acnes,Zoonotic
Rickettsia japonica,Zoonotic
Robinsoniella peoriensis,Zoonotic
Shigella dysenteriae,Zoonotic
Staphylococcus chromogenes,Not zoonotic
Staphylococcus hominis,Zoonotic
Staphylococcus pasteuri,Zoonotic
Staphylococcus saprophyticus,Zoonotic
Staphylococcus warneri,Zoonotic
Streptococcus alactolyticus,Zoonotic
Streptococcus gallolyticus,Zoonotic
Streptococcus merionis,Zoonotic
Streptococcus minor,Zoonotic
Treponema pedis,Not zoonotic
Vagococcus salmoninarum,Not zoonotic
Vibrio ichthyoenteri,Not zoonotic
Vibrio mimicus,Zoonotic
Clostridium spiroforme,Zoonotic
Eubacterium brachy,Zoonotic
Pasteurella mairii,Not zoonotic
Acholeplasma equifetale,Not zoonotic
Acinetobacter beijerinckii,Zoonotic
Acinetobacter gandensis,Not zoonotic
Acinetobacter johnsonii,Zoonotic
Acinetobacter variabilis,Zoonotic
Actinobacillus pleuropneumoniae,Zoonotic
Actinobacillus ureae,Zoonotic
Actinomyces denticolens,Not zoonotic
Actinomyces meyeri,Zoonotic
Actinomyces naeslundii,Zoonotic
Aeromonas bestiarum,Zoonotic
Aeromonas encheleia,Zoonotic
Aeromonas schubertii,Zoonotic
Aeromonas simiae,Not zoonotic
Allisonella histaminiformans,Not zoonotic
Alysiella filiformis,Not zoonotic
Anaerobiospirillum succiniciproducens,Zoonotic
Anaerobiospirillum thomasii,Zoonotic
Anaeroplasma abactoclasticum,Not zoonotic
Anaerorhabdus furcosa,Zoonotic
Arcobacter lanthieri,Not zoonotic
Arcobacter thereius,Not zoonotic
Avibacterium gallinarum,Not zoonotic
Avibacterium volantium,Zoonotic
Bacillus pumilus,Zoonotic
Bacteroides sartorii,Not zoonotic
Bacteroides zoogleoformans,Zoonotic
Bartonella alsatica,Zoonotic
Bartonella clarridgeiae,Zoonotic
Bartonella koehlerae,Zoonotic
Bartonella melophagi,Zoonotic
Bergeyella zoohelcum,Zoonotic
Bifidobacterium longum,Zoonotic
Bifidobacterium pseudocatenulatum,Zoonotic
Bisgaardia hudsonensis,Zoonotic
Blautia coccoides,Zoonotic
Bordetella parapertussis,Zoonotic
Borrelia coriaceae,Not zoonotic
Borrelia miyamotoi,Zoonotic
Borrelia persica,Zoonotic
Borrelia theileri,Not zoonotic
Borrelia turcica,Not zoonotic
Borreliella carolinensis,Not zoonotic
Borreliella spielmanii,Zoonotic
Borreliella tanukii,Not zoonotic
Brachyspira innocens,Not zoonotic
Brachyspira intermedia,Not zoonotic
Brevinema andersonii,Not zoonotic
Brucella inopinata,Zoonotic
Burkholderia cepacia,Zoonotic
Burkholderia contaminans,Zoonotic
Burkholderia gladioli,Zoonotic
Campylobacter avium,Not zoonotic
Campylobacter mucosalis,Zoonotic
Campylobacter upsaliensis,Zoonotic
Capnocytophaga cynodegmi,Zoonotic
Cardiobacterium hominis,Zoonotic
Cellulosimicrobium cellulans,Zoonotic
Cetobacterium ceti,Not zoonotic
Chlamydia muridarum,Not zoonotic
Chlamydia suis,Not zoonotic
Chryseobacterium aahli,Not zoonotic
Chryseobacterium balustinum,Zoonotic
Chryseobacterium hominis,Zoonotic
Chryseobacterium indologenes,Zoonotic
Chryseobacterium piscicola,Not zoonotic
Citrobacter koseri,Zoonotic
Citrobacter rodentium,Zoonotic
Citrobacter sedlakii,Zoonotic
Clostridium carnis,Zoonotic
Clostridium haemolyticum,Not zoonotic
Clostridium ventriculi,Zoonotic
Corynebacterium amycolatum,Zoonotic
Corynebacterium glucuronolyticum,Zoonotic
Corynebacterium jeikeium,Zoonotic
Corynebacterium kroppenstedtii,Zoonotic
Corynebacterium macginleyi,Zoonotic
Corynebacterium mastitidis,Not zoonotic
Corynebacterium matruchotii,Zoonotic
Corynebacterium urealyticum,Zoonotic
Cricetibacter osteomyelitidis,Not zoonotic
Deefgea chitinilytica,Not zoonotic
Delftia acidovorans,Zoonotic
Ehrlichia ewingii,Zoonotic
Enterobacter cloacae,Zoonotic
Enterobacter ludwigii,Zoonotic
Enterococcus avium,Zoonotic
Enterococcus raffinosus,Zoonotic
Facklamia sourekii,Zoonotic
Flavobacterium ceti,Zoonotic
Fusobacterium russii,Zoonotic
Gallibacterium melopsittaci,Not zoonotic
Gardnerella vaginalis,Zoonotic
Grimontia hollisae,Zoonotic
Haemophilus parahaemolyticus,Zoonotic
Haemophilus parainfluenzae,Zoonotic
Helicobacter bilis,Zoonotic
Helicobacter canis,Zoonotic
Helicobacter felis,Zoonotic
Helicobacter hepaticus,Zoonotic
Helicobacter macacae,Not zoonotic
Helicobacter marmotae,Not zoonotic
Helicobacter muridarum,Not zoonotic
Helicobacter pullorum,Zoonotic
Helicobacter pylori,Zoonotic
Helicobacter salomonis,Zoonotic
Helicobacter suis,Zoonotic
Kluyvera cryocrescens,Zoonotic
Leptospira wolffii,Zoonotic
Mannheimia glucosida,Zoonotic
Mannheimia varigena,Not zoonotic
Megamonas hypermegale,Zoonotic
Moraxella bovoculi,Not zoonotic
Moraxella osloensis,Zoonotic
Moraxella pluranimalium,Not zoonotic
Muribacter muris,Not zoonotic
Mycobacterium bohemicum,Zoonotic
Mycobacterium farcinogenes,Zoonotic
Mycobacterium gordonae,Zoonotic
Mycobacterium heckeshornense,Zoonotic
Mycobacterium intermedium,Zoonotic
Mycobacterium montefiorense,Not zoonotic
Mycobacterium palustre,Zoonotic
Mycobacterium porcinum,Zoonotic
Mycobacterium poriferae,Zoonotic
Mycobacterium salmoniphilum,Not zoonotic
Mycobacterium senegalense,Zoonotic
Mycobacterium shottsii,Not zoonotic
Mycoplasma alligatoris,Not zoonotic
Mycoplasma arthritidis,Not zoonotic
Mycoplasma bovis,Not zoonotic
Mycoplasma haemomuris,Not zoonotic
Mycoplasma neurolyticum,Not zoonotic
Mycoplasma pneumoniae,Zoonotic
Mycoplasma pullorum,Not zoonotic
Mycoplasma pulmonis,Not zoonotic
Mycoplasma salivarium,Zoonotic
Neisseria canis,Zoonotic
Neisseria elongata,Zoonotic
Neisseria iguanae,Not zoonotic
Neisseria macacae,Zoonotic
Neorickettsia sennetsu,Zoonotic
Nocardia arthritidis,Zoonotic
Nocardia elegans,Zoonotic
Nocardia neocaledoniensis,Zoonotic
Nocardia veterana,Zoonotic
Oscillibacter ruminantium,Zoonotic
Otariodibacter oris,Not zoonotic
Parachlamydia acanthamoebae,Zoonotic
Pasteurella testudinis,Not zoonotic
Peptococcus niger,Zoonotic
Peptostreptococcus anaerobius,Zoonotic
Porphyromonas circumdentaria,Zoonotic
Porphyromonas levii,Zoonotic
Prevotella bivia,Zoonotic
Propionibacterium propionicum,Zoonotic
Pseudomonas plecoglossicida,Not zoonotic
Psychrobacter faecalis,Zoonotic
Psychrobacter immobilis,Zoonotic
Psychrobacter phenylpyruvicus,Zoonotic
Psychrobacter pulmonis,Zoonotic
Rhodococcus erythropolis,Zoonotic
Rickettsia australis,Zoonotic
Rickettsia conorii,Zoonotic
Rickettsia honei,Zoonotic
Rickettsia parkeri,Zoonotic
Rickettsia prowazekii,Zoonotic
Rickettsia raoultii,Zoonotic
Rickettsia sibirica,Zoonotic
Rickettsia slovaca,Zoonotic
Rickettsia tamurae,Zoonotic
Segniliparus rugosus,Zoonotic
Serratia fonticola,Zoonotic
Shewanella algae,Zoonotic
Shigella boydii,Zoonotic
Staphylococcus agnetis,Not zoonotic
Staphylococcus capitis,Zoonotic
Staphylococcus caprae,Zoonotic
Staphylococcus cohnii,Zoonotic
Staphylococcus saccharolyticus,Zoonotic
Staphylococcus schleiferi,Zoonotic
Streptococcus acidominimus,Zoonotic
Streptococcus gallinaceus,Zoonotic
Streptococcus infantarius,Zoonotic
Streptococcus intermedius,Zoonotic
Streptococcus parasanguinis,Zoonotic
Streptococcus parauberis,Not zoonotic
Streptococcus porcinus,Zoonotic
Streptococcus sanguinis,Zoonotic
Streptococcus uberis,Zoonotic
Streptomyces albus,Zoonotic
